Star|n_Star|RAJ2000|DEJ2000|XSLID|MJD|ArmMissing|spU|spV|spN|FileUVB|FileVIS|FileNIR|Comments|SimbadName
HD 4906                  | |00 51 14.050|+18 47 25.1|X0753|56488.4170|       |spU|spV|spN|fits/xsl_spectrum_X0753_uvb.fits        |fits/xsl_spectrum_X0753_vis.fits        |fits/xsl_spectrum_X0753_nir.fits        |                                                                                                                                                                                                        |HD 4906
CL* NGC 288 OCH 531      | |00 52 41.130|-26 33 27.0|X0756|56496.3576|       |spU|spV|spN|fits/xsl_spectrum_X0756_uvb.fits        |fits/xsl_spectrum_X0756_vis.fits        |fits/xsl_spectrum_X0756_nir.fits        |                                                                                                                                                                                                        |CL* NGC 288 OCH 531
CL* NGC 288 OCH 531      | |00 52 41.130|-26 33 27.0|X0767|56508.3867|       |spU|spV|spN|fits/xsl_spectrum_X0767_uvb.fits        |fits/xsl_spectrum_X0767_vis.fits        |fits/xsl_spectrum_X0767_nir.fits        |                                                                                                                                                                                                        |CL* NGC 288 OCH 531
ISO-MCMS J005304.7-730409| |00 53 04.890|-73 04 09.5|X0029|55115.3055|UVB    |spU|spV|spN|                                        |fits/xsl_spectrum_X0029_vis.fits        |fits_nlc/xsl_spectrum_X0029_nir_nlc.fits|                                                                                                                                                                                                        |ISO-MCMS J005304.7-730409
ISO-MCMS J005307.8-730747| |00 53 07.670|-73 07 47.7|X0034|55116.1181|       |spU|spV|spN|fits/xsl_spectrum_X0034_uvb.fits        |fits/xsl_spectrum_X0034_vis.fits        |fits_nlc/xsl_spectrum_X0034_nir_nlc.fits|                                                                                                                                                                                                        |ISO-MCMS J005307.8-730747
ISO-MCMS J005314.8-730601| |00 53 14.670|-73 06 01.0|X0030|55115.3303|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0030_uvb_nlc.fits|fits/xsl_spectrum_X0030_vis.fits        |fits_nlc/xsl_spectrum_X0030_nir_nlc.fits|                                                                                                                                                                                                        |ISO-MCMS J005314.8-730601
ISO-MCMS J005332.4-730501| |00 53 32.760|-73 04 58.2|X0031|55115.3508|       |spU|spV|spN|fits/xsl_spectrum_X0031_uvb.fits        |fits/xsl_spectrum_X0031_vis.fits        |fits_nlc/xsl_spectrum_X0031_nir_nlc.fits|                                                                                                                                                                                                        |ISO-MCMS J005332.4-730501
ISO-MCMS J005422.8-730105| |00 54 22.680|-73 01 05.8|X0038|55119.0749|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0038_uvb_nlc.fits|fits/xsl_spectrum_X0038_vis.fits        |fits/xsl_spectrum_X0038_nir.fits        |                                                                                                                                                                                                        |ISO-MCMS J005422.8-730105
ISO-MCMS J005531.0-731018| |00 55 30.910|-73 10 19.0|X0039|55119.0915|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0039_uvb_nlc.fits|fits/xsl_spectrum_X0039_vis.fits        |fits/xsl_spectrum_X0039_nir.fits        |                                                                                                                                                                                                        |ISO-MCMS J005531.0-731018
CL* NGC 330 ROB A3       | |00 56 21.700|-72 27 35.8|X0754|56494.4148|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0754_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0754_vis_nlc.fits|fits_nlc/xsl_spectrum_X0754_nir_nlc.fits|                                                                                                                                                                                                        |CL* NGC 330 ROB A3
CL* NGC 330 ROB A3       | |00 56 21.700|-72 27 35.8|X0755|56495.4127|       |spU|spV|spN|fits/xsl_spectrum_X0755_uvb.fits        |fits/xsl_spectrum_X0755_vis.fits        |fits/xsl_spectrum_X0755_nir.fits        |                                                                                                                                                                                                        |CL* NGC 330 ROB A3
CL* NGC 330 ROB B38      | |00 56 22.580|-72 28 35.8|X0757|56497.4113|       |spU|spV|spN|fits/xsl_spectrum_X0757_uvb.fits        |fits/xsl_spectrum_X0757_vis.fits        |fits/xsl_spectrum_X0757_nir.fits        |                                                                                                                                                                                                        |CL* NGC 330 ROB B38
ISO-MCMS J005622.2-730334| |00 56 22.810|-73 03 33.9|X0026|55114.0974|       |spU|spV|spN|fits/xsl_spectrum_X0026_uvb.fits        |fits/xsl_spectrum_X0026_vis.fits        |fits_nlc/xsl_spectrum_X0026_nir_nlc.fits|                                                                                                                                                                                                        |ISO-MCMS J005622.2-730334
ISO-MCMS J005644.8-731436| |00 56 44.790|-73 14 34.7|X0040|55119.1096|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0040_uvb_nlc.fits|fits/xsl_spectrum_X0040_vis.fits        |fits/xsl_spectrum_X0040_nir.fits        |                                                                                                                                                                                                        |ISO-MCMS J005644.8-731436
SV* HV 11366             | |00 56 54.770|-72 14 08.4|X0765|56507.3936|       |spU|spV|spN|fits/xsl_spectrum_X0765_uvb.fits        |fits/xsl_spectrum_X0765_vis.fits        |fits/xsl_spectrum_X0765_nir.fits        |S-star signatures confirmed (ZrO at 940 nm; cf. Wood et al. 1983ApJ...272...99W)                                                                                                                        |SV* HV 11366
ISO-MCMS J005700.7-730751| |00 57 00.710|-73 07 50.6|X0012|55111.0708|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0012_uvb_nlc.fits|fits/xsl_spectrum_X0012_vis.fits        |fits/xsl_spectrum_X0012_nir.fits        |                                                                                                                                                                                                        |ISO-MCMS J005700.7-730751
ISO-MCMS J005712.2-730704| |00 57 12.150|-73 07 04.7|X0013|55111.0816|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0013_uvb_nlc.fits|fits/xsl_spectrum_X0013_vis.fits        |fits/xsl_spectrum_X0013_nir.fits        |                                                                                                                                                                                                        |ISO-MCMS J005712.2-730704
HD 5544                  | |00 57 13.040|+00 20 32.4|X0453|56154.4097|       |spU|spV|spN|fits/xsl_spectrum_X0453_uvb.fits        |fits/xsl_spectrum_X0453_vis.fits        |fits/xsl_spectrum_X0453_nir.fits        |                                                                                                                                                                                                        |HD 5544
ISO-MCMS J005714.4-730121| |00 57 14.470|-73 01 21.5|X0020|55112.0911|UVB    |spU|spV|spN|                                        |fits/xsl_spectrum_X0020_vis.fits        |fits/xsl_spectrum_X0020_nir.fits        |                                                                                                                                                                                                        |ISO-MCMS J005714.4-730121
ISO-MCMS J005716.5-731052| |00 57 16.500|-73 10 52.8|X0017|55111.1123|       |spU|spV|spN|fits/xsl_spectrum_X0017_uvb.fits        |fits/xsl_spectrum_X0017_vis.fits        |fits_nlc/xsl_spectrum_X0017_nir_nlc.fits|                                                                                                                                                                                                        |ISO-MCMS J005716.5-731052
HV 12149                 | |00 58 50.170|-72 18 35.6|X0759|56504.3474|UVB    |spU|spV|spN|                                        |fits_nlc/xsl_spectrum_X0759_vis_nlc.fits|fits/xsl_spectrum_X0759_nir.fits        |                                                                                                                                                                                                        |HV 12149
[M2002] SMC 46662        | |00 59 35.010|-72 04 06.4|X0005|55110.1348|       |spU|spV|spN|fits/xsl_spectrum_X0005_uvb.fits        |fits/xsl_spectrum_X0005_vis.fits        |fits/xsl_spectrum_X0005_nir.fits        |                                                                                                                                                                                                        |[M2002] SMC 46662
HD 5857                  | |01 00 15.730|+18 11 56.4|X0526|56232.0789|       |spU|spV|spN|fits/xsl_spectrum_X0526_uvb.fits        |fits/xsl_spectrum_X0526_vis.fits        |fits/xsl_spectrum_X0526_nir.fits        |                                                                                                                                                                                                        |HD 5857
ISO-MCMS J010031.5-730724| |01 00 31.510|-73 07 23.7|X0018|55111.1241|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0018_uvb_nlc.fits|fits/xsl_spectrum_X0018_vis.fits        |fits_nlc/xsl_spectrum_X0018_nir_nlc.fits|                                                                                                                                                                                                        |ISO-MCMS J010031.5-730724
CL* NGC 371 FTW R20      | |01 00 41.530|-72 10 36.9|X0041|55119.1289|       |spU|spV|spN|fits/xsl_spectrum_X0041_uvb.fits        |fits/xsl_spectrum_X0041_vis.fits        |fits/xsl_spectrum_X0041_nir.fits        |                                                                                                                                                                                                        |CL* NGC 371 FTW R20
CL* NGC 371 LE 31        | |01 01 45.390|-72 07 56.7|X0505|56212.2344|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0505_uvb_nlc.fits|fits/xsl_spectrum_X0505_vis.fits        |fits/xsl_spectrum_X0505_nir.fits        |                                                                                                                                                                                                        |CL* NGC 371 LE 31
[M2002] SMC 52334        | |01 01 54.190|-71 52 18.6|X0006|55110.1461|       |spU|spV|spN|fits/xsl_spectrum_X0006_uvb.fits        |fits/xsl_spectrum_X0006_vis.fits        |fits/xsl_spectrum_X0006_nir.fits        |                                                                                                                                                                                                        |[M2002] SMC 52334
[M2002] SMC 55188        | |01 03 02.460|-72 01 53.0|X0004|55110.1274|       |spU|spV|spN|fits/xsl_spectrum_X0004_uvb.fits        |fits/xsl_spectrum_X0004_vis.fits        |fits/xsl_spectrum_X0004_nir.fits        |                                                                                                                                                                                                        |[M2002] SMC 55188
HD 6268                  | |01 03 18.170|-27 52 49.9|X0733|56463.4046|       |spU|spV|spN|fits/xsl_spectrum_X0733_uvb.fits        |fits/xsl_spectrum_X0733_vis.fits        |fits/xsl_spectrum_X0733_nir.fits        |                                                                                                                                                                                                        |HD 6268
HD 6229                  | |01 03 36.460|+23 46 06.3|X0007|55110.1543|       |spU|spV|spN|fits/xsl_spectrum_X0007_uvb.fits        |fits/xsl_spectrum_X0007_vis.fits        |fits/xsl_spectrum_X0007_nir.fits        |                                                                                                                                                                                                        |HD 6229
SV* HV 1963              | |01 04 26.630|-72 34 40.2|X0511|56213.1647|       |spU|spV|spN|fits/xsl_spectrum_X0511_uvb.fits        |fits/xsl_spectrum_X0511_vis.fits        |fits/xsl_spectrum_X0511_nir.fits        |                                                                                                                                                                                                        |SV* HV 1963
SV* HV 12179             | |01 05 01.770|-72 06 56.3|X0514|56213.2183|       |spU|spV|spN|fits/xsl_spectrum_X0514_uvb.fits        |fits/xsl_spectrum_X0514_vis.fits        |fits/xsl_spectrum_X0514_nir.fits        |                                                                                                                                                                                                        |SV* HV 12179
WX Psc                   | |01 06 25.990|+12 35 52.8|X0008|55110.1609|UVB/VIS|spU|spV|spN|                                        |                                        |fits_nlc/xsl_spectrum_X0008_nir_nlc.fits|                                                                                                                                                                                                        |WX Psc
CL* NGC 419 LE 35        | |01 08 17.490|-72 53 01.3|X0513|56213.1976|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0513_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0513_vis_nlc.fits|fits/xsl_spectrum_X0513_nir.fits        |C-star with contamination by nearby hotter star below 450 nm                                                                                                                                            |CL* NGC 419 LE 35
CL* NGC 419 LE 27        | |01 08 20.670|-72 52 52.0|X0512|56213.1825|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0512_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0512_vis_nlc.fits|fits_nlc/xsl_spectrum_X0512_nir_nlc.fits|                                                                                                                                                                                                        |CL* NGC 419 LE 27
BBB SMC 148              | |01 09 17.880|-72 45 42.0|X0506|56212.2515|       |spU|spV|spN|fits/xsl_spectrum_X0506_uvb.fits        |fits/xsl_spectrum_X0506_vis.fits        |fits/xsl_spectrum_X0506_nir.fits        |                                                                                                                                                                                                        |BBB SMC 148
BBB SMC 104              | |01 10 29.460|-72 49 34.5|X0504|56212.2064|       |spU|spV|spN|fits/xsl_spectrum_X0504_uvb.fits        |fits/xsl_spectrum_X0504_vis.fits        |fits/xsl_spectrum_X0504_nir.fits        |                                                                                                                                                                                                        |BBB SMC 104
HD 7595                  | |01 15 29.530|-28 15 53.5|X0508|56212.2783|       |spU|spV|spN|fits/xsl_spectrum_X0508_uvb.fits        |fits/xsl_spectrum_X0508_vis.fits        |fits/xsl_spectrum_X0508_nir.fits        |                                                                                                                                                                                                        |HD 7595
U Psc                    | |01 22 58.480|+12 52 03.8|X0527|56232.0943|       |spU|spV|spN|fits/xsl_spectrum_X0527_uvb.fits        |fits/xsl_spectrum_X0527_vis.fits        |fits/xsl_spectrum_X0527_nir.fits        |                                                                                                                                                                                                        |U Psc
HD 8724                  | |01 26 17.590|+17 07 35.1|X0077|55176.0501|       |spU|spV|spN|fits/xsl_spectrum_X0077_uvb.fits        |fits/xsl_spectrum_X0077_vis.fits        |fits/xsl_spectrum_X0077_nir.fits        |                                                                                                                                                                                                        |HD 8724
HD 8724                  | |01 26 17.590|+17 07 35.1|X0092|55202.0446|       |spU|spV|spN|fits/xsl_spectrum_X0092_uvb.fits        |fits/xsl_spectrum_X0092_vis.fits        |fits/xsl_spectrum_X0092_nir.fits        |                                                                                                                                                                                                        |HD 8724
HD 9051                  | |01 28 46.500|-24 20 25.4|X0768|56553.2062|       |spU|spV|spN|fits/xsl_spectrum_X0768_uvb.fits        |fits/xsl_spectrum_X0768_vis.fits        |fits/xsl_spectrum_X0768_nir.fits        |                                                                                                                                                                                                        |HD 9051
HD 9051                  | |01 28 46.500|-24 20 25.4|X0769|56553.2129|       |spU|spV|spN|fits/xsl_spectrum_X0769_uvb.fits        |fits/xsl_spectrum_X0769_vis.fits        |fits/xsl_spectrum_X0769_nir.fits        |                                                                                                                                                                                                        |HD 9051
[M2002] SMC 83593        | |01 30 33.970|-73 18 41.6|X0021|55112.0988|       |spU|spV|spN|fits/xsl_spectrum_X0021_uvb.fits        |fits/xsl_spectrum_X0021_vis.fits        |fits/xsl_spectrum_X0021_nir.fits        |                                                                                                                                                                                                        |[M2002] SMC 83593
HD 9356                  | |01 32 08.170|+01 20 30.2|X0770|56553.2276|       |spU|spV|spN|fits/xsl_spectrum_X0770_uvb.fits        |fits/xsl_spectrum_X0770_vis.fits        |fits/xsl_spectrum_X0770_nir.fits        |                                                                                                                                                                                                        |HD 9356
HD 9356                  | |01 32 08.170|+01 20 30.2|X0775|56554.2110|       |spU|spV|spN|fits/xsl_spectrum_X0775_uvb.fits        |fits/xsl_spectrum_X0775_vis.fits        |fits/xsl_spectrum_X0775_nir.fits        |                                                                                                                                                                                                        |HD 9356
HE 0146-1548             | |01 48 34.720|-15 33 24.4|X0760|56506.3594|       |spU|spV|spN|fits/xsl_spectrum_X0760_uvb.fits        |fits/xsl_spectrum_X0760_vis.fits        |fits/xsl_spectrum_X0760_nir.fits        |                                                                                                                                                                                                        |HE 0146-1548
HD 11397                 | |01 51 40.530|-16 19 03.5|X0778|56554.2258|       |spU|spV|spN|fits/xsl_spectrum_X0778_uvb.fits        |fits/xsl_spectrum_X0778_vis.fits        |fits/xsl_spectrum_X0778_nir.fits        |Artifacts in K-band (NIR arm)                                                                                                                                                                           |HD 11397
HD 13043                 | |02 07 34.270|-00 37 02.7|X0203|55408.3049|       |spU|spV|spN|fits/xsl_spectrum_X0203_uvb.fits        |fits/xsl_spectrum_X0203_vis.fits        |fits/xsl_spectrum_X0203_nir.fits        |                                                                                                                                                                                                        |HD 13043
HD 13043                 | |02 07 34.270|-00 37 02.7|X0281|55457.3902|       |spU|spV|spN|fits/xsl_spectrum_X0281_uvb.fits        |fits/xsl_spectrum_X0281_vis.fits        |fits/xsl_spectrum_X0281_nir.fits        |                                                                                                                                                                                                        |HD 13043
HD 14625                 | |02 21 40.430|-00 08 55.0|X0559|56278.0963|       |spU|spV|spN|fits/xsl_spectrum_X0559_uvb.fits        |fits/xsl_spectrum_X0559_vis.fits        |fits/xsl_spectrum_X0559_nir.fits        |                                                                                                                                                                                                        |HD 14625
HD 14938                 | |02 24 23.310|-03 06 14.5|X0529|56232.2158|       |spU|spV|spN|fits/xsl_spectrum_X0529_uvb.fits        |fits/xsl_spectrum_X0529_vis.fits        |fits/xsl_spectrum_X0529_nir.fits        |                                                                                                                                                                                                        |HD 14938
HD 16031                 | |02 34 11.060|-12 23 03.4|X0065|55162.0429|       |spU|spV|spN|fits/xsl_spectrum_X0065_uvb.fits        |fits/xsl_spectrum_X0065_vis.fits        |fits/xsl_spectrum_X0065_nir.fits        |                                                                                                                                                                                                        |HD 16031
HD 16160                 | |02 36 04.900|+06 53 12.4|X0066|55162.0573|       |spU|spV|spN|fits/xsl_spectrum_X0066_uvb.fits        |fits/xsl_spectrum_X0066_vis.fits        |fits_nlc/xsl_spectrum_X0066_nir_nlc.fits|                                                                                                                                                                                                        |HD 16160
HD 16232                 | |02 36 57.740|+24 38 53.0|X0793|56579.2607|       |spU|spV|spN|fits/xsl_spectrum_X0793_uvb.fits        |fits/xsl_spectrum_X0793_vis.fits        |fits/xsl_spectrum_X0793_nir.fits        |                                                                                                                                                                                                        |HD 16232
HD 16456                 | |02 37 05.760|-42 57 48.0|X0782|56555.3017|       |spU|spV|spN|fits/xsl_spectrum_X0782_uvb.fits        |fits/xsl_spectrum_X0782_vis.fits        |fits/xsl_spectrum_X0782_nir.fits        |                                                                                                                                                                                                        |HD 16456
HD 16673                 | |02 40 12.420|-09 27 10.3|X0791|56579.2357|       |spU|spV|spN|fits/xsl_spectrum_X0791_uvb.fits        |fits/xsl_spectrum_X0791_vis.fits        |fits/xsl_spectrum_X0791_nir.fits        |                                                                                                                                                                                                        |HD 16673
HD 17072                 | |02 40 40.100|-69 13 58.8|X0042|55119.1377|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0042_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0042_vis_nlc.fits|fits/xsl_spectrum_X0042_nir.fits        |                                                                                                                                                                                                        |HD 17072
HD 17072                 | |02 40 40.100|-69 13 58.8|X0089|55201.0247|       |spU|spV|spN|fits/xsl_spectrum_X0089_uvb.fits        |fits/xsl_spectrum_X0089_vis.fits        |fits/xsl_spectrum_X0089_nir.fits        |                                                                                                                                                                                                        |HD 17072
BD+09 0352               | |02 41 13.640|+09 46 12.1|X0795|56579.2731|       |spU|spV|spN|fits/xsl_spectrum_X0795_uvb.fits        |fits/xsl_spectrum_X0795_vis.fits        |fits/xsl_spectrum_X0795_nir.fits        |                                                                                                                                                                                                        |BD+09 0352
GJ 109                   | |02 44 15.510|+25 31 24.1|X0792|56579.2481|       |spU|spV|spN|fits/xsl_spectrum_X0792_uvb.fits        |fits/xsl_spectrum_X0792_vis.fits        |fits/xsl_spectrum_X0792_nir.fits        |                                                                                                                                                                                                        |GJ 109
HD 18907                 | |03 01 37.630|-28 05 29.3|X0043|55119.1940|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0043_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0043_vis_nlc.fits|fits/xsl_spectrum_X0043_nir.fits        |                                                                                                                                                                                                        |HD 18907
HD 18769                 | |03 01 54.140|+26 27 44.4|X0073|55162.1075|       |spU|spV|spN|fits/xsl_spectrum_X0073_uvb.fits        |fits/xsl_spectrum_X0073_vis.fits        |fits/xsl_spectrum_X0073_nir.fits        |                                                                                                                                                                                                        |HD 18769
HD 19019                 | |03 03 50.820|+06 07 59.8|X0071|55162.0896|       |spU|spV|spN|fits/xsl_spectrum_X0071_uvb.fits        |fits/xsl_spectrum_X0071_vis.fits        |fits/xsl_spectrum_X0071_nir.fits        |                                                                                                                                                                                                        |HD 19019
HD 19304                 | |03 06 25.580|+03 15 52.2|X0545|56262.1616|       |spU|spV|spN|fits/xsl_spectrum_X0545_uvb.fits        |fits/xsl_spectrum_X0545_vis.fits        |fits/xsl_spectrum_X0545_nir.fits        |                                                                                                                                                                                                        |HD 19304
HD 19445                 | |03 08 25.590|+26 19 51.4|X0070|55162.0764|       |spU|spV|spN|fits/xsl_spectrum_X0070_uvb.fits        |fits/xsl_spectrum_X0070_vis.fits        |fits/xsl_spectrum_X0070_nir.fits        |                                                                                                                                                                                                        |HD 19445
HD 19787                 | |03 11 37.760|+19 43 36.0|X0084|55180.0732|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0084_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0084_vis_nlc.fits|fits_nlc/xsl_spectrum_X0084_nir_nlc.fits|                                                                                                                                                                                                        |HD 19787
HD 20619                 | |03 19 01.890|-02 50 35.4|X0546|56262.1764|       |spU|spV|spN|fits/xsl_spectrum_X0546_uvb.fits        |fits/xsl_spectrum_X0546_vis.fits        |fits/xsl_spectrum_X0546_nir.fits        |                                                                                                                                                                                                        |HD 20619
HD 21197                 | |03 24 59.730|-05 21 49.5|X0560|56278.1024|       |spU|spV|spN|fits/xsl_spectrum_X0560_uvb.fits        |fits/xsl_spectrum_X0560_vis.fits        |fits/xsl_spectrum_X0560_nir.fits        |                                                                                                                                                                                                        |HD 21197
HD 23924                 | |03 49 40.920|+23 20 29.6|X0794|56579.2661|       |spU|spV|spN|fits/xsl_spectrum_X0794_uvb.fits        |fits/xsl_spectrum_X0794_vis.fits        |fits/xsl_spectrum_X0794_nir.fits        |                                                                                                                                                                                                        |HD 23924
HD 24616                 | |03 53 59.460|-23 08 13.4|X0423|56143.3222|       |spU|spV|spN|fits/xsl_spectrum_X0423_uvb.fits        |fits/xsl_spectrum_X0423_vis.fits        |fits/xsl_spectrum_X0423_nir.fits        |                                                                                                                                                                                                        |HD 24616
